0.5833850739E-08,0.6079182072E-14
0.1469681629E-07,0.3102005636E-13
0.3696641959E-07,0.1516674788E-12
0.9255628577E-07,0.7177679037E-12
0.2333540296E-06,0.3289249437E-11
0.5833850739E-06,0.1448018728E-10
0.1469681629E-05,0.6091664992E-10
0.3696641959E-05,0.2440410873E-09
0.4650252176E-05,0.3283007977E-09
0.9311723295E-05,0.8987702447E-09
0.1851125715E-04,0.2390479192E-08
0.3696641959E-04,0.6303874633E-08
0.7404502861E-04,0.1622779608E-07
0.1469681629E-03,0.4169295302E-07
0.1851125715E-03,0.5455036068E-07
0.2939363257E-03,0.1017357985E-06
0.4655861648E-03,0.1891162390E-06
0.5889945458E-03,0.2577722993E-06
0.7404502861E-03,0.3145695856E-06
0.9311723295E-03,0.4281641582E-06
0.1475291100E-02,0.7926654241E-06
0.2333540296E-02,0.1472984568E-05
0.3702251431E-02,0.2721276574E-05
0.4661471120E-02,0.3532666378E-05
0.5889945458E-02,0.4805924225E-05
0.7404502861E-02,0.6553533034E-05
0.9311723295E-02,0.8925287846E-05
0.1172379620E-01,0.1210843246E-04
0.1475291100E-01,0.1560365008E-04
0.1856735187E-01,0.2122096411E-04
0.2339149768E-01,0.2889795995E-04
0.2944972729E-01,0.3713668719E-04
0.3713470374E-01,0.5049341166E-04
0.4672690063E-01,0.6865606036E-04
0.5889945458E-01,0.9362190049E-04
0.7404502861E-01,0.1267016387E-03
0.9311723295E-01,0.1622779608E-03
0.1032142823E+00,0.1803781949E-03
0.1177989092E+00,0.2053440351E-03
0.1480900572E+00,0.2789932634E-03
0.1867954131E+00,0.3632529739E-03
0.2350368711E+00,0.4706060864E-03
0.2412072902E+00,0.4874580285E-03
0.2501824452E+00,0.4924511966E-03
0.2928144313E+00,0.5211619127E-03
0.3707860903E+00,0.5679728629E-03
0.4465139604E+00,0.6135355212E-03
0.5458016124E+00,0.6740776835E-03
0.6731366238E+00,0.7614581239E-03
0.8245923641E+00,0.8738044045E-03
0.1015314408E+01,0.1023599445E-02
0.1234083810E+01,0.1217084706E-02
0.1643575256E+01,0.1616538148E-02
0.2148427724E+01,0.2190752471E-02
0.2765469629E+01,0.2977176435E-02
0.3505919915E+01,0.4044466101E-02
0.4375388054E+01,0.5461277528E-02
0.5390702462E+01,0.7302508238E-02
0.7011839831E+01,0.1061048206E-01
0.8414207797E+01,0.1379362667E-01
0.9984859919E+01,0.1778816109E-01
0.1239693282E+02,0.2452893793E-01
0.1677232088E+02,0.3857222300E-01
0.2114770893E+02,0.5473760448E-01
0.2849611707E+02,0.8675629445E-01
0.3472263084E+02,0.1173394486E+00
0.4336121751E+02,0.1660228369E+00
0.5514110843E+02,0.2434169413E+00
0.7067934550E+02,0.3657495579E+00
0.8919060265E+02,0.5367655628E+00
0.1121894373E+03,0.8051483442E+00
132.97371375337997,1.598731773477322
142.60203025052306,2.0743226434907327
152.26497149300417,2.64029367811567
161.96629610742227,3.3046274831461924
171.709739497163,4.074091861550197
181.4989771003582,4.954755329980517
191.3375994277361,5.952091633895402
201.22909831941556,7.071079860577242
211.17685954040311,8.316118266414792
221.1841443815254,9.691263626284478
231.25410895601232,11.200168554936427
241.38977906906308,12.84597587090777
251.59406328791576,14.631536691860136
261.8697455373444,16.559523642181492
272.2195070887885,18.632178367203952
282.64589694234184,20.85132866601152
293.1513580790807,23.218883551565984
303.738230602368,25.736447085334014
314.4087491014015,28.40485665279922
325.16501595012795,31.22555887459926
336.00908920766676,34.19967626483585
346.9428884352778,37.3273533382743
357.96825039841667,40.60975558146857
369.0869489242652,44.04789531554372
380.30067807331574,47.641122561094704
391.61099133269664,51.39028437162672
403.01946008375126,55.2955080666827
414.5274835531327,59.35693582048046
426.13649602669284,63.57576360910616
437.8478159546905,67.95024789942752
449.6626662019842,72.48038945914412
461.58224938323957,77.1676202040138
473.60774359973,82.01139007416499
485.7402216068481,87.00835664292765
497.98062074733645,92.16651053949268
510.330270970871,97.48013221472674
522.7897686764967,102.94328054766575
535.3601378732959,108.56496602206796
548.0422616604185,114.34202321906949
560.8369679959065,120.1663457445123
573.740919019643,125.12326504610327
586.7206113758032,128.76929674110264
599.7582097487067,131.88853092291563
612.8502940433794,134.87507035399167
625.9936001081643,137.75739618952431
639.1859391271535,140.55875674462615
652.425017387316,143.04212009210846
665.7007675695606,145.1438182841821
679.0093152116949,147.03611162287135
692.3465945685373,148.84741552667955
705.7131318085452,150.66085070184087
719.1075385874411,152.43952125676242
732.5292455438343,154.217333486102
745.9779542538234,155.9952754753954
759.4531486460004,157.7949606517175
772.9552023111889,159.60342806160492
786.4832093196885,161.42981033418843
800.0378422471716,163.2981767862317
813.6188660567685,165.18614704005256
827.2263239414124,167.10438968567817
840.8602787271875,169.05901960631962
854.520938525499,171.0478523533844
868.2082966049804,173.07041819459138
881.9225470533573,175.13309559000825
895.6638435701576,177.23485619668207
909.4323437815397,179.3780096668934
923.2282535551197,181.56377439605268
937.0517523939964,183.7925379164126
950.9030450438912,186.06739855114188
964.7823777606176,188.38674899945602
978.689905365598,190.75309945174598
992.6259262827336,193.1689815690252
1006.5906424530106,195.63329073769933
1020.584315838763,198.13707520614884
1034.6069290506284,200.7221232968181
1048.6597015877821,203.37027286036505
1062.742162254591,206.0526783651601
1076.8548849000229,208.81988121959455
1090.9985073210246,211.57801960164159
1105.1715132773609,214.37246686596666
1119.3755699040594,217.25646129342107
1133.6102671487295,220.15640127810607
1147.8757020552334,223.0874923273375
1162.171786554864,226.07152244182697
1176.499073180596,229.09118436501143
1190.8570997119507,232.13724123537773
